state_fp,county_fp,year,T2M_mean,T2M_max,T2M_min,T2M_std,RH2M_mean,RH2M_std,ALLSKY_SFC_SW_DWN_mean,ALLSKY_SFC_SW_DWN_std,latitude_first,longitude_first,county_first,extreme_heat_days,NDVI_mean,NDVI_max,NDVI_min,NDVI_std,EVI_mean,EVI_std,NDWI_mean,NDWI_std,state_name,county_name,crop,yield_value,yield_cv
20,121,2018,20.818571428571428,27.41,8.9,7.167471494121731,71.48285714285714,6.074201495630833,19.422857142857143,4.649579602092052,38.56358322619717,-94.83805697504422,Miami,0.0,0.6466326016136156,0.7356037304467927,0.4284893021423192,0.10130942623742939,0.42078794571122113,0.08507849821562603,0.6500956928454775,0.10144816760335826,KANSAS,MIAMI,corn,110.2,
20,121,2018,20.818571428571428,27.41,8.9,7.167471494121731,71.48285714285714,6.074201495630833,19.422857142857143,4.649579602092052,38.56358322619717,-94.83805697504422,Miami,0.0,0.6466326016136156,0.7356037304467927,0.4284893021423192,0.10130942623742939,0.42078794571122113,0.08507849821562603,0.6500956928454775,0.10144816760335826,KANSAS,MIAMI,soybean,42.2,
20,121,2019,19.574285714285715,24.81,10.56,5.639269625116528,82.22142857142856,3.3016330735532926,18.92142857142857,4.181472741237743,38.56358322619717,-94.83805697504422,Miami,0.0,0.6833945953082727,0.7810889289179591,0.5483893551483927,0.08599567051565886,0.44309907078077454,0.08314759947211207,0.6879849245901289,0.08477689440818746,KANSAS,MIAMI,corn,130.5,
20,121,2019,19.574285714285715,24.81,10.56,5.639269625116528,82.22142857142856,3.3016330735532926,18.92142857142857,4.181472741237743,38.56358322619717,-94.83805697504422,Miami,0.0,0.6833945953082727,0.7810889289179591,0.5483893551483927,0.08599567051565886,0.44309907078077454,0.08314759947211207,0.6879849245901289,0.08477689440818746,KANSAS,MIAMI,soybean,43.3,
20,121,2020,19.02857142857143,25.84,11.19,5.998337071142937,76.46000000000001,5.466580283870352,18.951428571428572,4.260236411951136,38.56358322619717,-94.83805697504422,Miami,0.0,0.6589653999826309,0.7690311462659614,0.4721307529199027,0.09985401205395651,0.43867759473883744,0.09412096710559904,0.6626608487920785,0.10026576555708569,KANSAS,MIAMI,corn,136.8,1.9
20,121,2020,19.02857142857143,25.84,11.19,5.998337071142937,76.46000000000001,5.466580283870352,18.951428571428572,4.260236411951136,38.56358322619717,-94.83805697504422,Miami,0.0,0.6589653999826309,0.7690311462659614,0.4721307529199027,0.09985401205395651,0.43867759473883744,0.09412096710559904,0.6626608487920785,0.10026576555708569,KANSAS,MIAMI,soybean,48.9,3.9
20,121,2021,20.184285714285714,25.5,11.88,5.333319345219753,76.05428571428571,4.122704844891913,18.78,3.961283462044424,38.56358322619717,-94.83805697504422,Miami,0.0,0.6694956050195978,0.7402992120961674,0.5723966978371486,0.06183347810904755,0.43302650609047355,0.07139890889854661,0.6715270542190416,0.060574280307949174,KANSAS,MIAMI,corn,123.0,6.2
20,121,2021,20.184285714285714,25.5,11.88,5.333319345219753,76.05428571428571,4.122704844891913,18.78,3.961283462044424,38.56358322619717,-94.83805697504422,Miami,0.0,0.6694956050195978,0.7402992120961674,0.5723966978371486,0.06183347810904755,0.43302650609047355,0.07139890889854661,0.6715270542190416,0.060574280307949174,KANSAS,MIAMI,soybean,46.1,5.3
20,121,2022,21.042857142857144,27.24,12.13,5.9308113955447785,64.87571428571428,10.51099877452639,20.015714285714285,3.3501634643842744,38.56358322619717,-94.83805697504422,Miami,0.0,0.6175716613124421,0.7542695225346419,0.4134673440118449,0.12516503021919928,0.4124667196071781,0.10901152453141315,0.6212972125478743,0.12662821468318658,KANSAS,MIAMI,corn,93.2,9.3
20,121,2022,21.042857142857144,27.24,12.13,5.9308113955447785,64.87571428571428,10.51099877452639,20.015714285714285,3.3501634643842744,38.56358322619717,-94.83805697504422,Miami,0.0,0.6175716613124421,0.7542695225346419,0.4134673440118449,0.12516503021919928,0.4124667196071781,0.10901152453141315,0.6212972125478743,0.12662821468318658,KANSAS,MIAMI,soybean,29.5,7.9
20,121,2023,21.689999999999998,27.59,13.12,5.8898556858381514,62.76571428571429,4.629070666785642,20.551428571428573,3.908518170063212,38.56358322619717,-94.83805697504422,Miami,0.0,0.6164312482444388,0.7042315373301383,0.4829230894711723,0.0940588855405041,0.3979730833473299,0.08368175712460733,0.6195150151867556,0.09388376215911978,KANSAS,MIAMI,corn,137.0,8.2
20,121,2023,21.689999999999998,27.59,13.12,5.8898556858381514,62.76571428571429,4.629070666785642,20.551428571428573,3.908518170063212,38.56358322619717,-94.83805697504422,Miami,0.0,0.6164312482444388,0.7042315373301383,0.4829230894711723,0.0940588855405041,0.3979730833473299,0.08368175712460733,0.6195150151867556,0.09388376215911978,KANSAS,MIAMI,soybean,28.3,8.7
20,123,2005,20.712857142857143,27.29,12.94,5.741450787288622,61.85285714285714,4.315556025534115,20.897142857142857,4.295826324413478,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.4826270142638561,0.5692407082155767,0.3518993612863488,0.08070485190078859,0.3069776966644967,0.06694002555158544,0.4873201459736957,0.08375461835937424,KANSAS,MITCHELL,corn,129.0,
20,123,2005,20.712857142857143,27.29,12.94,5.741450787288622,61.85285714285714,4.315556025534115,20.897142857142857,4.295826324413478,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.4826270142638561,0.5692407082155767,0.3518993612863488,0.08070485190078859,0.3069776966644967,0.06694002555158544,0.4873201459736957,0.08375461835937424,KANSAS,MITCHELL,soybean,36.0,
20,123,2006,20.768571428571427,28.88,11.82,6.15652073975615,56.97428571428571,5.216042104708822,20.84714285714286,4.689167354252829,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.45165136317802285,0.5489651761320519,0.3817141684427058,0.06355729222864687,0.28491252165446,0.053732924496594094,0.4558258746555696,0.06539891319405748,KANSAS,MITCHELL,corn,88.0,
20,123,2006,20.768571428571427,28.88,11.82,6.15652073975615,56.97428571428571,5.216042104708822,20.84714285714286,4.689167354252829,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.45165136317802285,0.5489651761320519,0.3817141684427058,0.06355729222864687,0.28491252165446,0.053732924496594094,0.4558258746555696,0.06539891319405748,KANSAS,MITCHELL,soybean,29.0,
20,123,2007,20.072857142857142,27.16,10.39,5.985428735091343,69.6842857142857,3.1767323732773827,20.187142857142856,3.6581129665703984,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.4884014436403866,0.5658698425246651,0.4158214966936469,0.0546653561728186,0.3153718384924105,0.050050320737163895,0.4932606314639546,0.058754949093424866,KANSAS,MITCHELL,corn,145.0,
20,123,2007,20.072857142857142,27.16,10.39,5.985428735091343,69.6842857142857,3.1767323732773827,20.187142857142856,3.6581129665703984,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.4884014436403866,0.5658698425246651,0.4158214966936469,0.0546653561728186,0.3153718384924105,0.050050320737163895,0.4932606314639546,0.058754949093424866,KANSAS,MITCHELL,soybean,35.0,
20,123,2008,18.754285714285714,26.15,9.51,6.270735887551681,67.95285714285714,2.2746114267841753,20.139999999999997,4.423226574948805,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.5030840705996507,0.6118206760052851,0.3914251258008534,0.07291604253718904,0.3302047061016443,0.0684560300911933,0.5098021632362408,0.07512305154606277,KANSAS,MITCHELL,corn,129.0,
20,123,2008,18.754285714285714,26.15,9.51,6.270735887551681,67.95285714285714,2.2746114267841753,20.139999999999997,4.423226574948805,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.5030840705996507,0.6118206760052851,0.3914251258008534,0.07291604253718904,0.3302047061016443,0.0684560300911933,0.5098021632362408,0.07512305154606277,KANSAS,MITCHELL,soybean,44.5,
20,123,2009,18.53142857142857,24.8,8.86,6.463526974677291,65.48571428571428,3.926592488587094,19.728571428571428,5.06600246272946,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.4638226756935672,0.5503674306557862,0.3560503099936348,0.07574697468177824,0.2996986763567828,0.06327016509375082,0.46895717780798524,0.07715001945719711,KANSAS,MITCHELL,soybean,40.5,
20,123,2010,20.919999999999998,27.25,14.02,5.764754981783701,63.88142857142857,5.764172182749306,21.124285714285715,3.4426581645721446,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.4981164039808986,0.6284280825872322,0.3652357176405584,0.0821656213403074,0.3249991829792786,0.07839112488060698,0.5035418610512389,0.08487230895594844,KANSAS,MITCHELL,corn,115.3,
20,123,2010,20.919999999999998,27.25,14.02,5.764754981783701,63.88142857142857,5.764172182749306,21.124285714285715,3.4426581645721446,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.4981164039808986,0.6284280825872322,0.3652357176405584,0.0821656213403074,0.3249991829792786,0.07839112488060698,0.5035418610512389,0.08487230895594844,KANSAS,MITCHELL,soybean,30.1,
20,123,2011,20.551428571428573,29.57,12.42,6.465393590935844,58.15714285714286,4.857186134260981,20.907142857142855,4.064823547977264,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.47056473777331503,0.5593107695888357,0.3527651596253111,0.07122149950982253,0.306938656395992,0.06086686674905833,0.4756936897259464,0.07439847263261952,KANSAS,MITCHELL,corn,109.1,
20,123,2011,20.551428571428573,29.57,12.42,6.465393590935844,58.15714285714286,4.857186134260981,20.907142857142855,4.064823547977264,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.47056473777331503,0.5593107695888357,0.3527651596253111,0.07122149950982253,0.306938656395992,0.06086686674905833,0.4756936897259464,0.07439847263261952,KANSAS,MITCHELL,soybean,34.0,
20,123,2012,21.892857142857142,31.43,11.88,6.7531244973116324,50.888571428571424,7.171590777903761,21.534285714285716,5.128537339056354,39.39326592630464,-98.20936481769378,Mitchell,1.0,0.4272018024228076,0.5881379974624533,0.3287920828406685,0.08483141643699388,0.28195801161006656,0.06569745078127331,0.4305194909664745,0.08914150777215091,KANSAS,MITCHELL,corn,74.5,
20,123,2012,21.892857142857142,31.43,11.88,6.7531244973116324,50.888571428571424,7.171590777903761,21.534285714285716,5.128537339056354,39.39326592630464,-98.20936481769378,Mitchell,1.0,0.4272018024228076,0.5881379974624533,0.3287920828406685,0.08483141643699388,0.28195801161006656,0.06569745078127331,0.4305194909664745,0.08914150777215091,KANSAS,MITCHELL,soybean,20.8,
20,123,2013,19.994285714285716,26.72,9.52,6.779871820673449,60.205714285714286,4.881140089305834,20.012857142857143,3.626121501391969,39.39326592630464,-98.20936481769378,Mitchell,0.0,0.4872735635424282,0.573855391052594,0.3612650441332487,0.07634132775311056,0.32352788692102924,0.06511973362417126,0.4920551114417991,0.07841253671280893,KANSAS,MITCHELL,corn,128.0,
